item,itemLabel,startDate,endDate
Q381139,Jonathan Motzfeldt,1979,1988
,Lars Chemnitz,1989,1991
,Bendt Frederiksen,1991,1995
,Knud SÃ¸rensen,1995,1997
Q381139,Jonathan Motzfeldt,1997,1997
,Anders Andreassen,1997,1999
,Johan Lund Olsen,1999,1999
,Ole Lynge,1999,2000
,Anders Andreassen,2001,2001
,Daniel Skifte,2001,2002
Q381139,Jonathan Motzfeldt,2002,2008
Q12334009,Ruth Heilmann,2008,2009
Q4559599,Josef Motzfeldt,2009,2013
Q468034,Lars Emil Johansen,2013,2018
Q310653,Hans Enoksen,2018,2018
Q55808436,Vivian Motzfeldt,2018,2021
Q310653,Hans Enoksen,2021,
